FrameReceived	FrameStart	SystemTimestamp	Message
38534	670.6523	16492548060816747	Code: 0064dadb 0101
38534	670.6523	16492548060906502	Code: 0064db22 1f1f
38534	670.6523	16492548060976309	Code: 0064db83 0101
38534	670.6523	16492548061056096	Code: 0064dbc1 2121
38534	670.6523	16492548061135891	Code: 0064dc11 0808
38534	670.6523	16492548061215671	Code: 0064dc62 7373
38534	670.6523	16492548061295468	Code: 0064dcaf 0101
38534	670.6523	16492548061375250	Code: 0064dd01 49c9
38534	670.6523	16492548061474985	Code: 0064dd77 0101
38534	670.6523	16492548061554774	Code: 0064ddb4 4bcb
38534	670.6523	16492548061674462	Synch 2: 0064de27
38534	670.6523	16492548061674462	Code: 0064de2a 0101
38534	670.6523	16492548061744278	Code: 0064de7c 54d4
38534	670.6523	16492548061844003	Code: 0064dee7 0303
38534	670.6523	16492548061923790	Code: 0064df24 1717
38534	670.6523	16492548062003785	Code: 0064df74 1111
38534	670.6523	16492548062083361	Code: 0064dfc6 0e8e
38534	670.6523	16492548062203038	Code: 0064e03c 3030
38534	670.6523	16492548062282824	Code: 0064e08d 6ded
38535	670.8024	16492548062412477	Code: 0064e102 0101
38536	670.8159	16492548062502535	Code: 0064e15d 0c0c
38537	670.8271	16492548062582018	Code: 0064e1be 0101
38538	670.8356	16492548062661814	Code: 0064e207 2e2e
38538	670.8356	16492548062661814	Synch 2: 0064e20f
38539	670.8523	16492548062741597	Code: 0064e254 0101
38539	670.8523	16492548062821392	Code: 0064e2a5 0b0b
38544	670.9356	16492548063639433	Synch 2: 0064e5f7
38545	670.9525	16492548063758879	Code: 0064e66b 0101
38545	670.9525	16492548063848647	Code: 0064e69f 0f0f
38546	670.9689	16492548064038421	Code: 0064e785 0101
38547	670.9856	16492548064128141	Code: 0064e7b9 2929
38547	670.9856	16492548064217683	Code: 0064e80f 0101
38548	671.0023	16492548064297439	Code: 0064e86a 1313
38549	671.0192	16492548064377220	Code: 0064e8b9 0101
38549	671.0192	16492548064457013	Code: 0064e90b 2a2a
38550	671.036	16492548064656484	Synch 2: 0064e9df
38555	671.119	16492548065394786	Code: 0064ecba 0101
38555	671.119	16492548065470598	Code: 0064ed04 2d2d
38556	671.1358	16492548065650120	Synch 2: 0064edc7
38562	671.2357	16492548066665604	Synch 2: 0064f1af
38568	671.3356	16492548067642973	Synch 2: 0064f597
38572	671.4023	16492548068271294	Code: 0064f7e0 0101
38572	671.4023	16492548068351081	Code: 0064f83f 1111
38574	671.4356	16492548068590445	Code: 0064f92d 0101
38574	671.4356	16492548068630338	Synch 2: 0064f97f
38574	671.4356	16492548068670229	Code: 0064f97e 1313
38580	671.5356	16492548069657606	Synch 2: 0064fd67
38583	671.5857	16492548070066503	Code: 0064ff09 0101
38583	671.5857	16492548070146286	Code: 0064ff42 1010
38586	671.6357	16492548070645190	Synch 2: 0065014f
38592	671.7357	16492548071662234	Synch 2: 00650537
38598	671.8357	16492548072639618	Synch 2: 0065091f
38600	671.8691	16492548072929133	Reward 2: 00650a37 000a
38604	671.9357	16492548073666881	Synch 2: 00650d07
38605	671.9525	16492548073746666	Code: 00650d5c 0101
38605	671.9525	16492548073826456	Code: 00650da1 1313
38610	672.0356	16492548074664216	Synch 2: 006510ef
38616	672.1357	16492548075641595	Synch 2: 006514d7
38622	672.2358	16492548076653970	Synch 2: 006518bf
38628	672.3358	16492548077634992	Synch 2: 00651ca7
38634	672.4358	16492548078672263	Synch 2: 0065208f
38638	672.5023	16492548079250698	Code: 006522d6 0101
38638	672.5023	16492548079330486	Code: 00652322 1010
38639	672.519	16492548079410270	Code: 0065237e 0101
38639	672.519	16492548079490063	Code: 006523c2 1313
38640	672.5358	16492548079569845	Code: 00652424 0101
38640	672.5358	16492548079649630	Code: 00652461 1010
38640	672.5358	16492548079649630	Synch 2: 00652477
38646	672.636	16492548080676899	Synch 2: 0065285f
38652	672.7357	16492548081654279	Synch 2: 00652c47
38658	672.8359	16492548082641642	Synch 2: 0065302f
38664	672.9357	16492548083658922	Synch 2: 00653417
38670	673.0356	16492548084656255	Synch 2: 006537ff
38676	673.1358	16492548085673862	Synch 2: 00653be7
38682	673.2357	16492548086650920	Synch 2: 00653fcf
38688	673.3357	16492548087638285	Synch 2: 006543b7
38694	673.4359	16492548088665534	Synch 2: 0065479f
38700	673.5357	16492548089643165	Synch 2: 00654b87
38706	673.6357	16492548090660222	Synch 2: 00654f6f
38707	673.6523	16492548090759962	Code: 00654fd9 0101
38707	673.6523	16492548090830046	Code: 00655016 1313
38712	673.7358	16492548091647891	Synch 2: 00655357
38717	673.819	16492548092390985	Code: 00655630 0101
38717	673.819	16492548092471053	Code: 00655677 4949
38718	673.8357	16492548092672141	Synch 2: 0065573f
38724	673.9357	16492548093649639	Synch 2: 00655b27
38730	674.0356	16492548094646901	Synch 2: 00655f0f
