FrameSent	FrameStart	SystemTimestamp	Message
39068	679.9025	16492548153268346	NEU 257
39068	679.9025	16492548153378059	NEU 7967
39068	679.9025	16492548153457839	NEU 257
39068	679.9025	16492548153527652	NEU 8481
39068	679.9025	16492548153597469	NEU 2056
39068	679.9025	16492548153697198	NEU 29555
39068	679.9025	16492548153767014	NEU 257
39068	679.9025	16492548153826852	NEU 51657
39068	679.9025	16492548153946776	NEU 257
39068	679.9025	16492548154026603	NEU 52171
39068	679.9025	16492548154146012	NEU 257
39068	679.9025	16492548154245739	NEU 54484
39068	679.9025	16492548154365412	NEU 771
39068	679.9025	16492548154445198	NEU 5911
39068	679.9025	16492548154524985	NEU 4369
39068	679.9025	16492548154604772	NEU 37265
39068	679.9025	16492548154714479	NEU 12336
39068	679.9025	16492548154774319	NEU 61680
39069	680.0589	16492548154943873	NEU 257
39069	680.0589	16492548155003706	NEU 3084
39070	680.0734	16492548155083510	NEU 257
39071	680.0847	16492548155143350	NEU 11822
39072	680.093	16492548155223119	NEU 257
39073	680.1023	16492548155293193	NEU 2827
39078	680.1857	16492548156040933	NEU 257
39078	680.1857	16492548156110747	NEU 3855
39079	680.2023	16492548156320188	NEU 257
39080	680.2191	16492548156409954	NEU 10537
39080	680.2191	16492548156489743	NEU 257
39081	680.2357	16492548156569528	NEU 4883
39081	680.2357	16492548156649309	NEU 257
39082	680.2523	16492548156729100	NEU 10794
39087	680.3358	16492548157656627	NEU 257
39087	680.3358	16492548157706770	NEU 11565
39088	680.3524	16492548157836144	NEU 257
39089	680.369	16492548157925902	NEU 4112
39106	680.6525	16492548160708474	RWB 10
39153	681.4357	16492548168676339	NEU 257
39154	681.4523	16492548168736179	NEU 4883
39167	681.6689	16492548170980182	NEU 257
39168	681.6858	16492548171070197	NEU 18761
