FrameSent	FrameStart	SystemTimestamp	Message
340	11.44743	16982608703961539	NEU 107
340	11.44743	16982608712119236	RWB 250
340	11.44743	16982608714385649	RWB 250
340	11.44743	16982608716643326	RWB 250
340	11.44743	16982608721440692	NEU 108
342	11.81412	16982608721950079	NEU 109
343	11.83082	16982608722120264	RWB 250
343	11.83082	16982608724461494	NEU 110
346	12.11411	16982608724991961	NEU 111
375	13.04748	16982608734289071	NEU 112
380	13.21415	16982608735955895	NEU 113
384	13.34749	16982608737330531	NEU 114
385	13.38079	16982608737626629	NEU 115
408	14.14745	16982608745290736	NEU 116
413	14.31412	16982608746958129	NEU 117
414	14.34748	16982608747373298	NEU 118
430	14.88078	16982608752616981	NEU 119
431	14.91415	16982608752956535	NEU 120
435	15.04748	16982608754288932	NEU 121
453	15.64747	16982608760286582	NEU 122
457	15.78078	16982608761617308	NEU 123
466	16.08078	16982608764615374	NEU 124
470	16.21414	16982608765955560	NEU 125
473	16.31412	16982608766951703	NEU 126
483	16.64745	16982608770286291	NEU 127
488	16.81414	16982608771956648	NEU 128
489	16.84745	16982608772296767	NEU 129
505	17.3808	16982608777624216	NEU 130
519	17.84747	16982608782288689	NEU 131
524	18.01411	16982608783950100	NEU 132
525	18.04745	16982608784290006	NEU 133
541	18.58081	16982608789635773	NEU 134
553	18.98084	16982608793616038	NEU 135
559	19.1808	16982608795624780	NEU 136
560	19.21417	16982608795955127	NEU 137
576	19.74746	16982608801297767	NEU 138
584	20.01413	16982608803959608	NEU 139
590	20.21414	16982608805956897	NEU 140
591	20.24747	16982608806291972	NEU 141
607	20.7808	16982608811340756	RWD 250
607	20.7808	16982608813658271	NEU 142
613	21.13079	16982608815117762	NEU 143
620	21.34746	16982608817288723	NEU 144
621	21.38077	16982608817619027	NEU 145
637	21.91411	16982608822948577	NEU 146
646	22.21413	16982608825948811	NEU 147
652	22.4141	16982608827952755	NEU 148
653	22.44746	16982608828288651	NEU 149
669	22.98078	16982608833625614	NEU 150
679	23.3141	16982608836947056	NEU 151
684	23.48079	16982608838623759	NEU 152
685	23.51412	16982608838949640	NEU 153
701	24.04745	16982608844288993	NEU 154
712	24.41414	16982608847957571	NEU 155
716	24.54748	16982608849291311	NEU 156
725	24.84745	16982608852288504	NEU 157
735	25.18077	16982608855618618	NEU 158
740	25.34745	16982608857291082	NEU 159
741	25.38078	16982608857621264	NEU 160
757	25.91412	16982608862955775	NEU 161
762	26.08079	16982608864623088	NEU 162
767	26.24746	16982608866292366	NEU 163
768	26.28078	16982608866622224	NEU 164
784	26.81412	16982608871694169	RWD 250
784	26.81412	16982608873971957	NEU 165
785	27.04745	16982608874293103	NEU 166
791	27.18078	16982608875618670	NEU 167
801	27.51413	16982608878954559	NEU 168
806	27.68078	16982608880621754	NEU 169
807	27.71409	16982608880951692	NEU 170
823	28.24747	16982608886289314	NEU 171
834	28.6141	16982608889989024	NEU 172
839	28.78076	16982608891618782	NEU 173
840	28.81409	16982608891953623	NEU 174
856	29.34745	16982608897287677	NEU 175
864	29.6141	16982608899956688	NEU 176
877	30.04743	16982608904288603	NEU 177
883	30.24744	16982608906287279	NEU 178
884	30.28076	16982608906618375	NEU 179
900	30.81411	16982608911949638	NEU 180
904	30.94744	16982608913287030	NEU 181
910	31.14745	16982608915289106	NEU 182
918	31.41411	16982608917952600	NEU 183
925	31.64745	16982608920292178	NEU 184
926	31.68075	16982608920617165	NEU 185
942	32.21409	16982608925960095	NEU 186
972	33.2141	16982608935688020	RWD 250
972	33.2141	16982608937959523	RWD 250
972	33.2141	16982608940216141	RWD 250
972	33.2141	16982608942524714	NEU 187
973	33.54744	16982608942805389	NEU 188
985	33.89746	16982608946287106	NEU 189
996	34.26409	16982608949952275	NEU 190
